ID	Block	Pop	CrossPop	Cytop	FamA	Fam	SurvPla	SurvSum0	SurvWin1	SurvSum1	SurvWin2	SurvSum2	SurvWin3	SurvSum3	SurvWin4	SurvSum4	Flow1	Flow2	Flow3	Flow4	TotSh1	TotSh2	TotSh3	FrSh1	FrSh2	FrSh3	SeFrG1	SeFrG2	SeFrG3	FlStart1	FlStart2	FlStart3	H1Sh1	TotFl1	PsM12
184	S2	F1 	Nx	N	F1C	F1B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	3	4	6.714285714	4	3	4	1	0	159	158	169	4.05	66	11.08566667
185	S2	N	N	N	N3	N3	1	1	1	1	0	0	0	0	0	0	1	0	0	0	3	0	0	2.666666667	0	0	4	0	0	163	NA	NA	5.38	10	12.94086667
186	S2	F1 	Nx	N	F1C	F1B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	6	2	3	10.333333	5.5	NA	163	158	180	4.53	6	11.22966667
187	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	4	3	3.857142857	4.5	6	3	5.666667	0	159	155	158	3.47	44	4.802133333
188	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	5	1	0	5.666667	3	NA	163	159	209	5.37	10	8.110166667
189	S2	F1 	Sx	S	F1C	F1A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	9	4.5	3	6.666667	0	NA	163	158	198	6.58	9	11.23603333
190	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	7	4.5	20	1.666667	0	2	157	157	169	3.24	25	10.14856667
191	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	4	2	7.75	3	6	4.333333	0.666667	1.333333333	159	158	169	4.64	45	10.60146667
192	S2	F1 	Nx	N	F1C	F1B	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	4	6	3	8	1.666667	0.666666667	163	157	174	5.24	12	9.264466667
193	S2	N	N	N	N10	N10	1	1	1	1	0	0	0	0	0	0	1	0	0	0	4	0	0	4.5	0	0	6	0	0	163	NA	NA	6.66	19	14.7692
197	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	2	2	2.5	4	7	2.666667	1	0	163	161	163	4.99	26	9.3945
198	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	4	4	3.375	0	3	3.333333	0	0.333333333	163	181	166	6.75	39	13.30976667
199	S2	N	N	N	N9	N9	1	1	1	1	0	0	0	0	0	0	1	0	0	0	9	0	0	3.555555556	0	0	12.333333	0	0	159	NA	NA	5.7	55	13.2618
202	S2	F1 	Nx	N	F1C	F1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	NA
204	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	1	0	1	5	1	0	3.6	5	0	11.333333	0	0	159	157	NA	4.71	30	4.1497
206	S2	S	S	S	S4	S4	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	NA
207	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	6	5	5.875	4	2	9.666667	1.666667	2.333333333	159	157	170	4.45	59	9.288733333
208	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	3	4	7.8	4	4	3	1	0.666666667	163	158	180	3.86	59	11.5444
209	S2	S	S	S	S2	S2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	6.666666667	8	0	21.333333	6.333333	NA	153	155	206	2.18	24	8.333733333
210	S2	N	N	N	N3	N3	1	1	1	1	0	0	0	0	0	0	1	0	0	0	3	0	0	4.333333333	0	0	11.333333	0	0	163	NA	NA	7.23	17	15.16986667
211	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	0	0	1	1	1	0	6	3	4	2.833333333	2	1	0.666667	1.666667	NA	163	161	171	4.99	35	15.478
212	S2	N	N	N	N1	N1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	5	0	0	6.2	0	0	1	0	0	154	NA	NA	4.21	36	19.126
214	S2	S	S	S	S14	S14	1	1	1	1	1	1	1	1	1	1	1	0	1	0	4	0	2	2.666666667	0	1	7.666667	0	NA	156	NA	202	2.22	14	7.642733333
215	S2	F1 	Nx	N	F1A	F1B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	4	3	3.666666667	1	5	2.333333	1	NA	163	166	168	5.46	36	13.21626667
216	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	0	0	0	0	1	1	0	0	7	1	0	3.833333333	0	0	1.666667	0	0	159	176	NA	5.53	42	8.291733333
217	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	0	1	6	4	1	5.833333333	3	0	4.333333	0	0	163	166	NA	5.98	47	14.96006667
218	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	0	0	1	1	1	0	5	5	3	4.4	1	5	4.666667	4	NA	163	158	204	5.85	33	11.84863333
219	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	12	9	8.375	3.142857143	2	1	0.666667	0.333333333	163	159	177	6.23	79	14.61446667
220	S2	N	N	N	N1	N1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	11	0	0	3.818181818	0	0	7.333333	0	0	163	NA	NA	6.75	60	15.94493333
221	S2	F1 	Sx	S	F1C	F1A	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	6	0	0	5.666667	0	NA	159	NA	NA	2.79	7	9.35775
222	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	6	4	5.6	2	5	3.333333	1	0	163	161	169	6.34	39	13.18673333
223	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	11	0	5	4.666667	0	0.333333333	163	NA	175	6.63	11	12.5576
224	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	0	0	0	0	0	1	0	0	0	8	0	0	6	0	0	4.666667	0	0	163	NA	NA	6.14	63	14.4553
225	S2	S	S	S	S6	S6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	10	7.5	5	16.666667	13.333333	NA	153	152	188	2.71	23	7.439533333
226	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	2	3	3.5	5	4	3	2.666667	0	163	161	163	5.99	34	11.90496667
227	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	4.333333333	6	3	0.333333	1.666667	0.666666667	163	157	176	4.94	24	9.475433333
229	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	0	1	1	5	0	2	3.8	0	4	1	0	0.333333333	157	NA	176	4.94	26	10.64236667
230	S2	F1 	Nx	N	F1C	F1B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	4	2	8.333333333	3.75	4	8	3.333333	NA	159	158	179	6.76	67	14.60193333
231	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	0	0	0	0	0	1	0	0	0	11	0	0	7.3	0	0	7.666667	0	0	159	NA	NA	6.38	99	11.8658
232	S2	S	S	S	S2	S2	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	9	0	0	20	0	11	156	NA	158	1.67	12	8.591266667
